"Timestamp","¿Cuál es su edad?","¿Cuál es su género?","¿Con qué frecuencia utiliza redes sociales en general? ","¿Utiliza TikTok?","¿Cuántas horas diarias dedica aproximadamente a ver contenido en TikTok?","¿Con qué frecuencia ve contenido relacionado con productos (reseñas, unboxing, tendencias)? ","¿Ha descubierto productos a través de TikTok? ","Me preocupa perderme experiencias o tendencias populares en redes sociales. ","Siento la necesidad de estar al día con lo que otros consumen o recomiendan. ","Me incomoda no saber qué productos o tendencias están de moda. ","Suelo revisar redes sociales para no perderme novedades. ","Cuando veo que algo se vuelve viral, siento curiosidad por probarlo. ","Me siento más atraído/a por productos que parecen limitados o exclusivos. ","Si un producto está a punto de agotarse, me dan más ganas de comprarlo. ","Las ediciones limitadas me resultan más interesantes que los productos normales. ","Siento urgencia por comprar cuando veo que algo es difícil de conseguir. ","Percibo que algunos productos en redes sociales están disponibles por tiempo limitado. ","He comprado productos sin planificarlo después de verlos en redes sociales. ","A veces compro cosas porque están de moda, aunque no las necesite. ","Me dejo llevar por el momento cuando veo productos atractivos online. ","He comprado productos por miedo a que se agoten o desaparezcan. ","TikTok influye en mis decisiones de compra. ","Confío en las recomendaciones de productos que veo en TikTok. ","He comprado productos específicamente por haberlos visto en TikTok. ","¿Ha comprado algún producto en los últimos 3 meses debido a TikTok? ","¿Con qué frecuencia compra productos influenciado/a por TikTok? ",""
"2026/04/23 6:48:33 pm EET","18-21","Femenino","Varias veces al día","Sí","Más de 2 horas","Frecuentemente","Sí","3","4","3","4","5","5","4","4","5","4","5","4","5","5","3","3","5","Sí","A veces","2"
"2026/04/23 7:24:33 pm EET","22-25","Femenino","Varias veces al día","No","Menos de 30 minutos","Rara vez","Sí","1","2","1","2","3","3","2","4","3","2","4","4","3","3","1","2","1","No","Nunca","1"
"2026/04/23 7:40:01 pm EET","18-21","Femenino","Varias veces al día","Sí","30 min – 1 hora","Muy frecuentemente","Sí","3","3","2","2","4","2","4","3","2","4","2","4","4","2","4","4","5","Sí","A veces","2"
"2026/04/23 7:59:58 pm EET","18-21","Femenino","Varias veces al día","Sí","Más de 2 horas","Muy frecuentemente","Sí","1","1","2","4","2","4","1","1","1","4","1","4","4","1","1","3","1","No","Nunca","1"
"2026/04/23 8:03:28 pm EET","18-21","Masculino","Varias veces al día","Sí","Menos de 30 minutos","Rara vez","No","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","No","Nunca","1"
"2026/04/23 8:04:36 pm EET","18-21","Masculino","Varias veces al día","Sí","Más de 2 horas","Muy frecuentemente","Sí","5","5","5","4","3","3","2","3","4","3","5","3","2","1","4","4","2","Sí","A veces","1"
"2026/04/23 8:11:09 pm EET","18-21","Femenino","Varias veces al día","Sí","1–2 horas","Frecuentemente","Sí","5","3","3","4","4","4","5","5","4","3","2","2","3","4","4","4","4","Sí","Frecuentemente","3"
"2026/04/23 8:18:51 pm EET","18-21","Femenino","Varias veces al día","Sí","1–2 horas","Frecuentemente","Sí","4","5","2","4","4","1","1","1","1","1","1","1","1","1","3","5","5","Sí","Rara vez","1"
"2026/04/23 8:25:29 pm EET","22-25","Femenino","Varias veces al día","Sí","Más de 2 horas","Frecuentemente","Sí","3","2","1","2","1","2","1","2","1","3","1","1","1","1","1","3","4","No","Rara vez","1"
"2026/04/23 8:32:38 pm EET","18-21","Masculino","Varias veces al día","Sí","1–2 horas","A veces","Sí","1","2","1","4","3","3","2","2","1","1","1","3","2","1","2","1","1","No","Rara vez","2"
"2026/04/23 8:35:27 pm EET","18-21","Masculino","Varias veces al día","Sí","30 min – 1 hora","A veces","No","2","1","1","2","1","1","1","3","3","1","1","1","2","2","1","1","1","No","Nunca","1"
"2026/04/23 8:54:23 pm EET","18-21","Femenino","Varias veces al día","No","Menos de 30 minutos","A veces","Sí","1","1","1","1","1","2","1","1","1","1","1","1","1","1","2","2","1","No","Rara vez","1"
"2026/04/23 8:57:04 pm EET","22-25","Femenino","Varias veces al día","Sí","1–2 horas","Rara vez","Sí","4","3","3","3","4","3","3","3","4","3","2","1","1","1","1","2","1","No","Nunca","1"
"2026/04/23 9:17:19 pm EET","26-30","Masculino","Varias veces al día","Sí","1–2 horas","Muy frecuentemente","Sí","2","2","1","1","2","4","1","1","2","4","1","4","3","1","1","1","3","Sí","Rara vez","1"
"2026/04/23 9:22:04 pm EET","18-21","Masculino","Varias veces al día","No","Menos de 30 minutos","Nunca","No","4","2","1","4","5","5","2","1","1","1","3","4","5","1","1","1","1","No","Nunca","1"
"2026/04/23 9:28:28 pm EET","26-30","Masculino","Varias veces al día","Sí","1–2 horas","A veces","Sí","1","1","1","1","2","1","1","5","1","1","1","1","1","1","1","2","1","No","Rara vez","1"
"2026/04/23 9:29:00 pm EET","31-40","Masculino","Varias veces al día","No","Menos de 30 minutos","Nunca","No","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","No","Nunca","1"
"2026/04/23 9:43:16 pm EET","18-21","Masculino","Varias veces al día","Sí","Menos de 30 minutos","Rara vez","Sí","1","1","4","2","3","5","1","5","3","3","1","3","1","1","4","4","1","No","Nunca","1"
"2026/04/23 10:02:19 pm EET","18-21","Femenino","Varias veces al día","Sí","Más de 2 horas","A veces","Sí","3","3","4","3","4","3","4","3","3","3","3","4","3","3","3","4","4","Sí","Rara vez","3"
"2026/04/23 10:24:56 pm EET","18-21","Femenino","Varias veces al día","Sí","1–2 horas","Rara vez","Sí","3","2","2","1","2","2","1","1","1","1","1","1","1","2","3","2","1","No","Rara vez","1"
"2026/04/23 10:44:10 pm EET","22-25","Femenino","Varias veces al día","No","Menos de 30 minutos","Nunca","No","3","3","2","5","4","1","1","2","4","4","5","3","4","4","1","3","1","No","Nunca","1"
"2026/04/23 11:22:05 pm EET","22-25","Femenino","Varias veces al día","Sí","1–2 horas","A veces","Sí","2","2","2","3","2","1","1","1","2","2","2","1","1","1","1","1","2","No","Nunca","1"
"2026/04/24 1:06:38 am EEST","18-21","Femenino","Varias veces al día","Sí","1–2 horas","A veces","Sí","4","3","2","4","3","3","3","4","3","3","2","2","2","2","3","3","3","No","A veces","3"
"2026/04/24 1:26:07 am EEST","26-30","Masculino","Varias veces al día","No","Menos de 30 minutos","Frecuentemente","Sí","3","2","2","3","1","4","3","5","4","4","2","1","3","2","1","1","1","No","Nunca","1"
"2026/04/24 5:08:25 am EEST","22-25","Femenino","Nunca","Sí","Menos de 30 minutos","Nunca","Sí","1","1","1","1","2","1","2","2","2","2","1","1","1","2","1","1","1","No","Nunca","1"
"2026/04/24 8:04:55 am EEST","18-21","Femenino","Varias veces al día","Sí","1–2 horas","A veces","Sí","1","1","1","2","2","2","1","3","1","1","1","3","3","1","1","3","1","No","A veces","1"
"2026/04/24 12:58:41 pm EEST","18-21","Femenino","Varias veces al día","Sí","Más de 2 horas","Muy frecuentemente","Sí","5","5","4","5","5","5","5","5","5","3","3","4","4","5","5","4","5","Sí","Muy frecuentemente","4"
"2026/04/24 3:24:00 pm EEST","18-21","Masculino","Nunca","No","Menos de 30 minutos","Nunca","No","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","No","Nunca","1"
"2026/04/24 4:02:56 pm EEST","Más de 40","Masculino","Varias veces al día","No","Menos de 30 minutos","Nunca","No","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","No","Nunca","1"
"2026/04/24 4:03:56 pm EEST","Más de 40","Femenino","Varias veces al día","Sí","Menos de 30 minutos","Muy frecuentemente","No","2","3","3","3","5","4","4","1","1","2","5","2","3","1","1","4","1","No","A veces","3"
"2026/04/24 4:42:54 pm EEST","22-25","Masculino","Varias veces al día","Sí","30 min – 1 hora","Frecuentemente","Sí","2","2","1","2","2","3","3","2","1","2","4","1","2","1","3","3","3","Sí","Rara vez","1"
"2026/04/24 5:08:02 pm EEST","18-21","Masculino","Varias veces al día","No","1–2 horas","A veces","Sí","1","1","1","4","3","2","1","3","1","1","4","2","1","1","1","3","1","No","Rara vez","1"
"2026/04/27 1:22:53 pm EEST","Más de 40","Femenino","Varias veces al día","Sí","30 min – 1 hora","A veces","Sí","2","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","No","Nunca","1"
"2026/04/28 5:51:43 pm EEST","18-21","Femenino","Varias veces al día","Sí","Más de 2 horas","A veces","Sí","2","1","2","1","3","2","1","1","1","3","1","2","1","1","1","2","2","No","Rara vez",""
"2026/04/28 5:54:21 pm EEST","18-21","Femenino","Varias veces al día","Sí","1–2 horas","A veces","Sí","2","3","4","3","4","4","4","4","4","3","2","3","2","1","2","4","3","No","A veces",""
"2026/04/28 11:06:14 pm EEST","18-21","Femenino","Varias veces al día","Sí","1–2 horas","Frecuentemente","No","5","5","4","5","4","3","3","3","4","4","3","2","1","2","3","3","3","No","Rara vez",""
